[2023-09-26 15:29:11,426] INFO [Broker id=0] Leader connect-offsets-4 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,464] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,523] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,548] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,589] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,611] INFO [Broker id=0] Leader orders-0 with topic id Some(dU6rzubmTzCod-y55zq43Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,664] INFO [Broker id=0] Leader connect-offsets-12 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,701] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,740] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,778] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,816] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,854] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,892] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:11,982] INFO [Broker id=0] Leader connect-offsets-22 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,023] INFO [Broker id=0] Leader connect-offsets-7 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,044] INFO [Broker id=0] Leader connect-offsets-0 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,081] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,103] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,122] INFO [Broker id=0] Leader connect-status-3 with topic id Some(oflyTWEMT4OcauAzyZASuw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,144] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,191] INFO [Broker id=0] Leader connect-offsets-15 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,210] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,230] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,268] INFO [Broker id=0] Leader connect-offsets-21 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,307] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,347] INFO [Broker id=0] Leader connect-status-4 with topic id Some(oflyTWEMT4OcauAzyZASuw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,384] INFO [Broker id=0] Leader connect-offsets-6 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,423] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,462] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 62 with partition epoch 0, high watermark 62, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,498] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,520] INFO [Broker id=0] Leader connect-offsets-14 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:12,654] INFO [Broker id=0] Finished LeaderAndIsr request in 3052ms correlationId 1 from controller 0 for 84 partitions (state.change.logger)
[2023-09-26 15:29:12,742] INFO [Broker id=0] Add 84 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 6 with correlation id 2 (state.change.logger)
